Date/Time,Step Count (count),Source
2022-05-29 00:00:00,3083,Zebra|iPhone
2022-05-30 00:00:00,791.39,Zebra|iPhone
2022-05-31 00:00:00,1702,Zebra|iPhone
2022-06-01 00:00:00,1664,Zebra|iPhone
2022-06-02 00:00:00,1584,Zebra|iPhone
2022-06-03 00:00:00,1701,Zebra|iPhone
2022-06-04 00:00:00,2251,Zebra|iPhone
2022-06-05 00:00:00,1632,Zebra|iPhone
2022-06-06 00:00:00,1920,Zebra|iPhone
2022-06-07 00:00:00,1345,Zebra|iPhone
2022-06-08 00:00:00,581,Zebra|iPhone
2022-06-09 00:00:00,2995,Zebra|iPhone
2022-06-10 00:00:00,3659,Zebra|iPhone
2022-06-11 00:00:00,7432,Zebra|iPhone
2022-06-12 00:00:00,8790,Zebra|iPhone
2022-06-13 00:00:00,4661,Zebra|iPhone
2022-06-14 00:00:00,2053,Zebra|iPhone
2022-06-15 00:00:00,6484,Zebra|iPhone
2022-06-16 00:00:00,6373,Zebra|iPhone
2022-06-17 00:00:00,10545,Zebra|iPhone
2022-06-18 00:00:00,5006,Zebra|iPhone
2022-06-19 00:00:00,5472,Zebra|iPhone
2022-06-20 00:00:00,11252,Zebra|iPhone
2022-06-21 00:00:00,16212,Zebra|iPhone
2022-06-22 00:00:00,10803,Zebra|iPhone
2022-06-23 00:00:00,6708,Zebra|iPhone
2022-06-24 00:00:00,5703,Zebra|iPhone
2022-06-25 00:00:00,27108,Zebra|iPhone
2022-06-26 00:00:00,6805,Zebra|iPhone
2022-06-27 00:00:00,6850,Zebra|iPhone
2022-06-28 00:00:00,4933,Zebra|iPhone
2022-06-29 00:00:00,8537,Zebra|iPhone
2022-06-30 00:00:00,1078,Zebra|iPhone
2022-07-01 00:00:00,4089,Zebra|iPhone
2022-07-02 00:00:00,3318,Zebra|iPhone
2022-07-03 00:00:00,9429,Zebra|iPhone
2022-07-04 00:00:00,3595,Zebra|iPhone
2022-07-05 00:00:00,2878,Zebra|iPhone
2022-07-06 00:00:00,864,Zebra|iPhone
2022-07-07 00:00:00,2422,Zebra|iPhone
2022-07-08 00:00:00,2952,Zebra|iPhone
2022-07-09 00:00:00,2703,Zebra|iPhone
2022-07-10 00:00:00,1181,Zebra|iPhone
2022-07-11 00:00:00,3113,Zebra|iPhone
2022-07-12 00:00:00,2511,Zebra|iPhone
2022-07-13 00:00:00,507,Zebra|iPhone
2022-07-14 00:00:00,4174,Zebra|iPhone
2022-07-15 00:00:00,902,Zebra|iPhone
2022-07-16 00:00:00,1026,Zebra|iPhone
2022-07-17 00:00:00,815.46,Zebra|iPhone
2022-07-18 00:00:00,2585,Zebra|iPhone
2022-07-19 00:00:00,1298,Zebra|iPhone
2022-07-20 00:00:00,2885,Zebra|iPhone
2022-07-21 00:00:00,1329,Zebra|iPhone
2022-07-22 00:00:00,2398,Zebra|iPhone
2022-07-23 00:00:00,752.66,Zebra|iPhone
2022-07-24 00:00:00,1648,Zebra|iPhone
2022-07-25 00:00:00,825,Zebra|iPhone
2022-07-26 00:00:00,1379,Zebra|iPhone
2022-07-27 00:00:00,3340,Zebra|iPhone
2022-07-28 00:00:00,2285,Zebra|iPhone
2022-07-29 00:00:00,1851,Zebra|iPhone
2022-07-30 00:00:00,924,Zebra|iPhone
2022-07-31 00:00:00,1390,Zebra|iPhone
2022-08-01 00:00:00,1945,Zebra|iPhone
2022-08-02 00:00:00,919,Zebra|iPhone
2022-08-03 00:00:00,936,Zebra|iPhone
2022-08-04 00:00:00,2521,Zebra|iPhone
2022-08-05 00:00:00,2904,Zebra|iPhone
2022-08-06 00:00:00,1116,Zebra|iPhone
2022-08-07 00:00:00,897,Zebra|iPhone
2022-08-08 00:00:00,1173,Zebra|iPhone
2022-08-09 00:00:00,1383,Zebra|iPhone
2022-08-10 00:00:00,1476,Zebra|iPhone
2022-08-11 00:00:00,799,Zebra|iPhone
2022-08-12 00:00:00,880,Zebra|iPhone
